"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"357PUACS","journalArticle","2012","Naveau, Mikaël; Doucet, Gaëlle; Delcroix, Nicolas; Petit, Laurent; Zago, Laure; Crivello, Fabrice; Jobard, Gaël; Mellet, Emmanuel; Tzourio-Mazoyer, Nathalie; Mazoyer, Bernard; Joliot, Marc","A Novel Group ICA Approach Based on Multi-scale Individual Component Clustering. Application to a Large Sample of fMRI Data","Neuroinformatics","","1539-2791, 1559-0089","10.1007/s12021-012-9145-2","http://link.springer.com/article/10.1007/s12021-012-9145-2","Functional connectivity-based analysis of functional magnetic resonance imaging data (fMRI) is an emerging technique for human brain mapping. One powerful method for the investigation of functional connectivity is independent component analysis (ICA) of concatenated data. However, this research field is evolving toward processing increasingly larger database taking into account inter-individual variability. Concatenated data analysis only handles these features using some additional procedures such as bootstrap or including a model of between-subject variability during the preprocessing step of the ICA. In order to alleviate these limitations, we propose a method based on group analysis of individual ICA components, using a multi-scale clustering (MICCA). MICCA start with two steps repeated several times: 1) single subject data ICA followed by 2) clustering of all subject independent components according to a spatial similarity criterion. A final third step consists in selecting reproducible clusters across the repetitions of the two previous steps. The core of the innovation lies in the multi-scale and unsupervised clustering algorithm built as a chain of three processes: robust proto-cluster creation, aggregation of the proto-clusters, and cluster consolidation. We applied MICCA to the analysis of 310 fMRI resting state dataset. MICCA identified 28 resting state brain networks. Overall, the cluster neuroanatomical substrate included 98% of the cerebrum gray matter. MICCA results proved to be reproducible in a random splitting of the data sample and more robust than the classical concatenation method.","2012/03/18","2015-03-24 14:27:57","2015-06-04 13:47:30","2015-03-24 14:27:57","269-285","","3","10","","Neuroinform","","","","","","","","en","","","","","link.springer.com","","","","/home/naveau/.mozilla/firefox/h7x03sa5.default/zotero/storage/AXZKFMM5/Naveau et al_2012_A Novel Group ICA Approach Based on Multi-scale Individual Component Clustering.pdf; ; ","http://www.ncbi.nlm.nih.gov/pubmed/22426994; http://link.springer.com/article/10.1007%2Fs12021-012-9145-2","","Adolescent; Adult; Bioinformatics; Brain; Brain Mapping; Clustering; Cohort; Computational Biology/Bioinformatics; Computer Appl. in Life Sciences; Databases, Factual; Female; fMRI; Functional connectivity; Humans; ICA; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Middle Aged; Multi-scale; Neurology; Neurosciences; Oxygen; Principal Component Analysis; Reproducibility of Results; Signal Processing, Computer-Assisted; Unsupervised; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CW9THH5","conferencePaper","2010","Joliot, Marc; Doucet, Gaëlle; Naveau, Mikaël; Delcroix, Nicolas; Delamillieure, Pascal; Crivello, Fabrice; Zago, Laure; Petit, Laurent; Mellet, Emmanuel; Tzourio-Mazoyer, Nathalie; Mazoyer, Bernard","Mental content modulates the synchronicity of resting-state networks.","16th Annual Meeting of the Organization for Human Brain Mapping.","","","","","","2010","2010-05-20 07:56:11","2014-10-06 19:46:04","","","","","","","","","","","","","","","","","","","","","0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NA7ANTM","journalArticle","2014","Naveau, Mikael; Butz-Ostendorf, Markus","Simulating structural plasticity of large scale networks in NEST","BMC Neuroscience","","1471-2202","10.1186/1471-2202-15-S1-P194","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126386/","","2014-7-21","2014-10-06 15:28:38","2014-10-06 15:28:38","2014-10-06 15:28:38","P194","","Suppl 1","15","","BMC Neurosci","","","","","","","","","","","","","PubMed Central","","PMID: null PMCID: PMC4126386","","; ","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126386/pdf/1471-2202-15-S1-P194.pdf; http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126386/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79U8WZIE","conferencePaper","2010","Joliot, Marc; Delcroix, Nicolas; Zago, Laure; Vigneau, Mathieu; Crivello, Fabrice; Simon, Gregory; Petit, Laurent; Turbelin, Marie-Renée; Naveau, Mikaël; Lamberton, Franck; Hervé, Pierre-Yves; Jobard, Gaël; Mellet, Emmanuel; Mazoyer, Bernard; Tzourio-Mazoyer, Nathalie","GINdb : portable database for the storage and processing of human functional brain imaging data.","16th Annual Meeting of the Organization for Human Brain Mapping.","","","","","","2010","2010-05-20 08:11:39","2014-10-06 19:46:01","","","","","","","","","","","","","","","","","","","","","0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4SHTUHX","conferencePaper","2012","Joliot, Marc; Naveau, Mikaël; Hervé, Pierre-Yves; Petit, Laurent; Zago, Laure; Crivello, Fabrice; Jobard, Gaël; Mellet, Emmanuel; Tzourio-Mazoyer, Nathalie; Mazoyer, Bernard","Establishing homotopic inter-hemispheric regional correspondences via rest functional connectivity","18th Annual Meeting of the Organization for Human Brain Mapping","","","","","","2012","2012-01-16 13:39:29","2014-10-06 19:46:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXS3632E","journalArticle","2011","Doucet, Gaëlle; Naveau, Mikaël; Petit, Laurent; Delcroix, Nicolas; Zago, Laure; Crivello, Fabrice; Jobard, Gaël; Tzourio-Mazoyer, Nathalie; Mazoyer, Bernard; Mellet, Emmanuel; Joliot, Marc","Brain activity at rest: a multiscale hierarchical functional organization","Journal of Neurophysiology","","","10.1152/jn.00895.2010","http://jn.physiology.org/content/105/6/2753.abstract","Spontaneous brain activity was mapped with functional MRI (fMRI) in a sample of 180 subjects while in a conscious resting-state condition. With the use of independent component analysis (ICA) of each individual fMRI signal and classification of the ICA-defined components across subjects, a set of 23 resting-state networks (RNs) was identified. Functional connectivity between each pair of RNs was assessed using temporal correlation analyses in the 0.01- to 0.1-Hz frequency band, and the corresponding set of correlation coefficients was used to obtain a hierarchical clustering of the 23 RNs. At the highest hierarchical level, we found two anticorrelated systems in charge of intrinsic and extrinsic processing, respectively. At a lower level, the intrinsic system appears to be partitioned in three modules that subserve generation of spontaneous thoughts (M1a; default mode), inner maintenance and manipulation of information (M1b), and cognitive control and switching activity (M1c), respectively. The extrinsic system was found to be made of two distinct modules: one including primary somatosensory and auditory areas and the dorsal attentional network (M2a) and the other encompassing the visual areas (M2b). Functional connectivity analyses revealed that M1b played a central role in the functioning of the intrinsic system, whereas M1c seems to mediate exchange of information between the intrinsic and extrinsic systems.","juin 01 , 2011","2012-01-09 08:44:44","2012-01-09 19:19:27","2012-01-09 08:44:44","2753 -2763","","6","105","","","Brain activity at rest","","","","","","","","","","","","Highwire 2.0","0000","","","; ; ","; ; http://jn.physiology.org/content/105/6/2753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7K84NN5","conferencePaper","2010","Doucet, Gaëlle; Naveau, Mikaël; Delcroix, Nicolas; Petit, Laurent; Zago, Laure; Crivello, Fabrice; Mellet, Emmanuel; Tzourio-Mazoyer, Nathalie; Mazoyer, Bernard; Joliot, Marc","Identification of 23 temporally synchronized networks at rest on a cohort of 180 healthy subjects.","16th Annual Meeting of the Organization for Human Brain Mapping.","","","","","","2010","2010-05-20 07:51:18","2014-10-06 19:45:57","","","","","","","","","","","","","","","","","","","","","0000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKSU2HIV","conferencePaper","2012","Naveau, Mikaël; Gautier, Ludivine; Delcroix, Nicolas; Herve, Pierre-Yves; Petit, Laurent; Zago, Laure; Crivello, Fabrice; Jobard, Gaël; Mellet, Emmanuel; Tzourio-Mazoyer, Nathalie; Mazoyer, Bernard; Joliot, Marc","Searching for Hubs of Degree and Betweenness in the Connectivity Graph of the Resting-State Networks","18th Annual Meeting of the Organization for Human Brain Mapping","","","","","","2012","2012-01-16 13:39:29","2014-10-06 19:52:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q396UGHM","journalArticle","2013","Orliac, François; Naveau, Mickael; Joliot, Marc; Delcroix, Nicolas; Razafimandimby, Annick; Brazo, Perrine; Dollfus, Sonia; Delamillieure, Pascal","Links among resting-state default-mode network, salience network, and symptomatology in schizophrenia","Schizophrenia Research","","0920-9964","10.1016/j.schres.2013.05.007","http://www.sciencedirect.com/science/article/pii/S0920996413002624","Neuroimaging data support the idea that schizophrenia is a brain disorder with altered brain structure and function. New resting-state functional connectivity techniques allow us to highlight synchronization of large-scale networks, such as the default-mode network (DMN) and salience network (SN). A large body of work suggests that disruption of these networks could give rise to specific schizophrenia symptoms. We examined the intra-network connectivity strength and gray matter content (GMC) of DMN and SN in 26 schizophrenia patients using resting-state functional magnetic resonance imaging and voxel-based morphometry. Resting-state data were analyzed with independent component analysis and dual-regression techniques. We reported reduced functional connectivity within both DMN and SN in patients with schizophrenia. Concerning the DMN, patients showed weaker connectivity in a cluster located in the right paracingulate cortex. Moreover, patients showed decreased GMC in this cluster. With regard to the SN, patients showed reduced connectivity in the left and right striatum. Decreased connectivity in the paracingulate cortex was correlated with difficulties in abstract thinking. The connectivity decrease in the left striatum was correlated with delusion and depression scores. Correlation between the connectivity of DMN frontal regions and difficulties in abstract thinking emphasizes the link between negative symptoms and the likely alteration of the frontal medial cortex in schizophrenia. Correlation between the connectivity of SN striatal regions and delusions supports the aberrant salience hypothesis. This work provides new insights into dysfunctional brain organization in schizophrenia and its contribution to specific schizophrenia symptoms.","August 2013","2015-03-24 14:26:27","2015-06-04 13:47:44","2015-03-24 14:26:27","74-80","","1–3","148","","Schizophrenia Research","","","","","","","","","","","","","ScienceDirect","","","","; ; ; /home/naveau/.mozilla/firefox/h7x03sa5.default/zotero/storage/7UNAA7WU/S0920996413002624.html","http://www.sciencedirect.com/science/article/pii/S0920996413002624/pdfft?md5=e1db9e76bcd3c1e3c3e2f7bffbc00967&pid=1-s2.0-S0920996413002624-main.pdf; http://www.ncbi.nlm.nih.gov/pubmed/23727217; http://www.ncbi.nlm.nih.gov/pubmed/23727217","","Adult; Brain; Cingulate; Dysconnectivity; Female; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Male; Middle Aged; Models, Neurological; Neural Pathways; Oxygen; Psychiatric Status Rating Scales; Psychosis; Regression Analysis; Rest; schizophrenia; Striatum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCAZDVW9","conferencePaper","2012","Naveau, Mikael; Delcroix, Nicolas; Hervé, Pierre-Yves; Petit, Laurent; Zago, Laure; Crivello, Fabrice; Jobard, Gaël; Mellet, Emmanuel; Tzourio-Mazoyer, Nathalie; Mazoyer, Bernard; Joliot, Marc","MICCA: Multi-scale independant component clustering algorithm","18th Annual Meeting of the Organization for Human Brain Mapping","","","","","","2012","2012-01-16 13:39:29","2014-10-06 19:43:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
